日期,買入,賣出
2020/07/23,55525.00,56015.00
2020/07/22,54528.00,55018.00
2020/07/21,53965.00,54455.00
2020/07/20,53283.00,53773.00
2020/07/17,53131.00,53621.00
2020/07/16,52953.00,53443.00
2020/07/15,53001.00,53491.00
2020/07/14,53081.00,53571.00
2020/07/13,52992.00,53482.00
2020/07/10,52707.00,53197.00
2020/07/09,52822.00,53312.00
2020/07/08,53026.00,53516.00
2020/07/07,52546.00,53036.00
2020/07/06,52186.00,52676.00
2020/07/03,52085.00,52575.00
2020/07/02,52204.00,52694.00
2020/07/01,51753.00,52243.00
2020/06/30,52403.00,52893.00
2020/06/29,51931.00,52421.00
2020/06/24,51892.00,52382.00
2020/06/23,51977.00,52467.00
2020/06/22,51835.00,52325.00
2020/06/20,51451.00,51941.00
2020/06/19,51351.00,51841.00
2020/06/18,50776.00,51266.00
2020/06/17,50813.00,51303.00
2020/06/16,50970.00,51460.00
2020/06/15,50850.00,51340.00
2020/06/12,51181.00,51671.00
2020/06/11,51488.00,51978.00
2020/06/10,50651.00,51141.00
2020/06/09,50948.00,51438.00
2020/06/08,50156.00,50646.00
2020/06/05,49772.00,50262.00
2020/06/04,50962.00,51452.00
2020/06/03,50424.00,50914.00
2020/06/02,51876.00,52366.00
2020/06/01,51848.00,52338.00
2020/05/29,51820.00,52310.00
2020/05/28,51489.00,51979.00
2020/05/27,50835.00,51395.00
2020/05/26,51151.00,51711.00
2020/05/25,51760.00,52320.00
2020/05/22,51648.00,52208.00
2020/05/21,51254.00,51814.00
2020/05/20,52093.00,52653.00
2020/05/19,51771.00,52331.00
2020/05/18,51697.00,52257.00
2020/05/15,52009.00,52569.00
2020/05/14,51503.00,52063.00
2020/05/13,51033.00,51593.00
2020/05/12,50832.00,51392.00
2020/05/11,50343.00,50903.00
2020/05/08,50987.00,51547.00
2020/05/07,50685.00,51245.00
2020/05/06,50195.00,50755.00
2020/05/05,50484.00,51044.00
2020/05/04,50663.00,51223.00
2020/04/30,49879.00,50439.00
2020/04/29,50669.00,51229.00
2020/04/28,50961.00,51521.00
2020/04/27,51105.00,51665.00
2020/04/24,51281.00,51841.00
2020/04/23,51786.00,52346.00
2020/04/22,51143.00,51703.00
2020/04/21,50307.00,50867.00
2020/04/20,50570.00,51130.00
2020/04/17,50478.00,51038.00
2020/04/16,51676.00,52236.00
2020/04/15,51099.00,52099.00
2020/04/14,51632.00,52632.00
2020/04/13,50787.00,51787.00
2020/04/10,49591.00,50891.00
2020/04/09,50276.00,50916.00
2020/04/08,49438.00,50078.00
2020/04/07,49537.00,50177.00
2020/04/06,49496.00,50136.00
2020/04/01,47827.00,48467.00
2020/03/31,48178.00,48818.00
2020/03/30,48639.00,49379.00
2020/03/27,48788.00,49528.00
2020/03/26,49059.00,49799.00
2020/03/25,48207.00,49247.00
2020/03/24,48802.00,49216.00
2020/03/23,46465.00,46879.00
2020/03/20,44875.00,45289.00
2020/03/19,44884.00,45298.00
2020/03/18,44946.00,45360.00
2020/03/17,46008.00,46422.00
2020/03/16,45543.00,45957.00
2020/03/13,46083.00,46497.00
2020/03/12,47178.00,47592.00
2020/03/11,49523.00,49937.00
2020/03/10,49551.00,49965.00
2020/03/09,50089.00,50503.00
2020/03/06,49523.00,49937.00
2020/03/05,49388.00,49802.00
2020/03/04,48973.00,49387.00
2020/03/03,48644.00,49058.00
2020/03/02,47864.00,48278.00
2020/02/27,49517.00,49931.00
2020/02/26,49530.00,49944.00
2020/02/25,50024.00,50438.00
2020/02/24,50929.00,51343.00
2020/02/21,49696.00,50110.00
2020/02/20,48752.00,49166.00
2020/02/19,48245.00,48659.00
2020/02/18,47930.00,48344.00
2020/02/17,47262.00,47676.00
2020/02/15,47404.00,47818.00
2020/02/14,47277.00,47691.00
2020/02/13,47106.00,47520.00
2020/02/12,46811.00,47225.00
2020/02/11,46815.00,47229.00
2020/02/10,47120.00,47534.00
2020/02/07,47000.00,47414.00
2020/02/06,46784.00,47198.00
2020/02/05,46676.00,47090.00
2020/02/04,46626.00,47040.00
2020/02/03,47406.00,47820.00
2020/01/31,47587.00,48001.00
2020/01/30,47737.00,48151.00
2020/01/22,46526.00,46940.00
2020/01/21,46503.00,46917.00
2020/01/20,46535.00,46949.00
2020/01/17,46426.00,46840.00
2020/01/16,46230.00,46644.00
2020/01/15,46181.00,46595.00
2020/01/14,45907.00,46321.00
2020/01/13,46294.00,46708.00
2020/01/10,46574.00,46988.00
2020/01/09,46227.00,46641.00
2020/01/08,47058.00,47472.00
2020/01/07,46997.00,47411.00
2020/01/06,46981.00,47395.00
2020/01/03,46299.00,46713.00
2020/01/02,45849.00,46263.00
2019/12/31,45472.00,45886.00
2019/12/30,45249.00,45663.00
2019/12/27,45488.00,45902.00
2019/12/26,45343.00,45757.00
2019/12/25,44944.00,45358.00
2019/12/24,45027.00,45441.00
2019/12/23,44634.00,45048.00
2019/12/20,44418.00,44832.00
2019/12/19,44380.00,44794.00
2019/12/18,44388.00,44802.00
2019/12/17,44407.00,44821.00
2019/12/16,44403.00,44817.00
2019/12/13,44404.00,44818.00
2019/12/12,44456.00,44870.00
